test,ber,snr,throughput,M,cplen,pilotSpacing,numActiveCarriers,useCoding,fc,distance,volume,constraintLength,modscheme
cp_sweep_coded,0,-8.5056,5538.4615,4,32,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_coded,0,-8.2779,5538.4615,4,32,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_coded,0,-8.3943,5538.4615,4,32,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_coded,0,-7.9904,5454.5455,4,64,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_coded,0,-8.1728,5454.5455,4,64,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_coded,0,-8.0544,5454.5455,4,64,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_coded,0,-7.632,5294.1176,4,128,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_coded,0,-7.6451,5294.1176,4,128,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_coded,0,-8.4493,5294.1176,4,128,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_coded,0,-8.1785,5000,4,256,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_coded,0,-8.1753,5000,4,256,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_coded,0,-7.1107,5000,4,256,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_coded,0,-6.7538,4500,4,512,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_coded,0,-7.2806,4500,4,512,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_coded,0,-7.0782,4500,4,512,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_coded,0,-7.1491,3750,4,1024,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_coded,0,-7.0733,3750,4,1024,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_coded,0,-7.0476,3750,4,1024,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_coded,0,-8.0866,2812.5,4,2048,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_coded,0,-7.7025,2812.5,4,2048,5,300,1,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.004325,-10.7056,5538.4615,4,32,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.004325,-9.203,5538.4615,4,32,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.004429,-9.3062,5538.4615,4,32,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.003627,-9.6145,5454.5455,4,64,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.003592,-10.1954,5454.5455,4,64,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.003627,-8.8623,5454.5455,4,64,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.002058,-10.5051,5294.1176,4,128,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.001988,-9.5799,5294.1176,4,128,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.001988,-9.0079,5294.1176,4,128,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.000209,-10.1076,5000,4,256,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.000279,-10.2254,5000,4,256,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.000279,-9.9228,5000,4,256,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.000279,-10.0365,5000,4,256,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.000174,-10.0747,5000,4,256,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.000209,-9.9847,4500,4,512,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.004046,-9.4301,4500,4,512,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.000209,-10.4925,4500,4,512,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.000349,-9.5134,3750,4,1024,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.000279,-9.2085,3750,4,1024,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.000209,-10.016,3750,4,1024,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.00014,-8.6135,3750,4,1024,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.000453,-9.7566,3750,4,1024,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.008824,-9.5756,2812.5,4,2048,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.008301,-10.0199,2812.5,4,2048,5,300,0,8000,1.5,75,3,qpsk
cp_sweep_uncoded,0.008231,-9.7934,2812.5,4,2048,5,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.000698,-10.5676,3125,4,256,2,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.000698,-10.456,3125,4,256,2,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.000663,-10.0842,3125,4,256,2,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.000698,-10.2619,3125,4,256,2,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.000698,-9.9966,3125,4,256,2,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.00014,-10.8669,4166.6667,4,256,3,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.00014,-10.5119,4166.6667,4,256,3,300,0,8000,1.5,75,3,qpsk
