test,trial,ber,ser,snr,throughput,distance,volume,txAngle,rxAngle,blocked,blockerType,reflectionMode,modscheme,useCoding,notes
distance_sweep,1,0.000000,0.000382,-3.1528,8333.3333,0.50,100,0.0,0.0,0,none,direct,qpsk,1,clear_los
distance_sweep,2,0.000000,0.000417,-2.8420,8333.3333,0.50,100,0.0,0.0,0,none,direct,qpsk,1,clear_los
distance_sweep,3,0.000000,0.000347,-3.8215,8333.3333,0.50,100,0.0,0.0,0,none,direct,qpsk,1,clear_los
distance_sweep,1,0.000000,0.018750,-9.7794,16666.6667,0.50,100,0.0,0.0,0,none,direct,16qam,1,clear_los
distance_sweep,2,0.000000,0.019583,-7.8419,16666.6667,0.50,100,0.0,0.0,0,none,direct,16qam,1,clear_los
distance_sweep,3,0.000000,0.022083,-8.0595,16666.6667,0.50,100,0.0,0.0,0,none,direct,16qam,1,clear_los
distance_sweep,1,0.017578,0.060694,-11.9323,16666.6667,0.50,100,0.0,0.0,0,none,direct,16qam,0,clear_los
distance_sweep,2,0.018276,0.062917,-12.1349,16666.6667,0.50,100,0.0,0.0,0,none,direct,16qam,0,clear_los
distance_sweep,3,0.018834,0.064306,-10.9062,16666.6667,0.50,100,0.0,0.0,0,none,direct,16qam,0,clear_los
distance_sweep,1,0.002267,0.004653,-3.6653,8333.3333,0.50,100,0.0,0.0,0,none,direct,qpsk,0,clear_los
distance_sweep,2,0.001953,0.003958,-4.7537,8333.3333,0.50,100,0.0,0.0,0,none,direct,qpsk,0,clear_los
distance_sweep,3,0.001779,0.003542,-5.1776,8333.3333,0.50,100,0.0,0.0,0,none,direct,qpsk,0,clear_los
distance_sweep,1,0.002372,0.004792,-8.9726,8333.3333,1.00,100,0.0,0.0,0,none,direct,qpsk,0,clear_los
distance_sweep,2,0.002686,0.005417,-9.8363,8333.3333,1.00,100,0.0,0.0,0,none,direct,qpsk,0,clear_los
distance_sweep,3,0.002616,0.005347,-9.3794,8333.3333,1.00,100,0.0,0.0,0,none,direct,qpsk,0,clear_los
